-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  Prefill-1-8192_execute_new_1_cached_0         0.00%       0.000us         0.00%       0.000us       0.000us     229.557ms       111.64%     229.557ms     229.557ms             1            --  
                               vllm::moe_forward_shared        14.65%      35.177ms        22.55%      54.134ms     859.270us      79.070ms        38.45%      92.559ms       1.469ms            63            --  
                                  _C::cutlass_scaled_mm         0.74%       1.784ms         1.46%       3.512ms      27.870us      49.450ms        24.05%      49.450ms     392.458us           126            --  
void cutlass::device_kernel<vllm::cutlass_3x_gemm_fp...         0.00%       0.000us         0.00%       0.000us       0.000us      49.379ms        24.01%      49.379ms     404.745us           122            --  
bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x128x256u2...         0.00%       0.000us         0.00%       0.000us       0.000us      46.275ms        22.50%      46.275ms     758.604us            61            --  
                               vllm::gdn_attention_core         7.86%      18.875ms        54.22%     130.185ms       2.893ms      22.505ms        10.94%      24.775ms     550.553us            45            --  
bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x128x256u2_...         0.00%       0.000us         0.00%       0.000us       0.000us      19.223ms         9.35%      19.223ms     315.124us            61            --  
kernel_cutlass_kernel_atrexsrccutedslgdn_prefill_sm1...         0.00%       0.000us         0.00%       0.000us       0.000us      14.500ms         7.05%      14.500ms     322.229us            45            --  
                                               aten::mm         3.20%       7.673ms         3.86%       9.259ms      30.458us      13.043ms         6.34%      13.043ms      42.906us           304  15620334698496.000  
void moe::dev::finalize::finalizeKernelVecLoad<moe::...         0.00%       0.000us         0.00%       0.000us       0.000us       9.294ms         4.52%       9.294ms     152.355us            61            --  
                    vllm::unified_attention_with_output         2.09%       5.008ms         4.13%       9.910ms     550.564us       8.236ms         4.01%       8.321ms     462.251us            18            --  
fmhaSm103aKernel_QkvE4m3OBfloat16H256PagedKvCausalP1...         0.00%       0.000us         0.00%       0.000us       0.000us       7.612ms         3.70%       7.612ms     475.752us            16            --  
        nvjet_sm103_tst_128x256_64x6_2x2f_2cta_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       5.413ms         2.63%       5.413ms      88.744us            61            --  
                fused_qkvzba_split_reshape_cat_kernel_0         0.28%     664.233us         0.35%     840.496us      18.678us       5.358ms         2.61%       5.358ms     119.068us            45            --  
                  fused_qkvzba_split_reshape_cat_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       5.358ms         2.61%       5.358ms     119.068us            45            --  
## Call CompiledFxGraph fl7ar2jwcc2i6oorkhjwtevafubq...         0.00%       0.000us         0.00%       0.000us       0.000us       4.604ms         2.24%       4.604ms     920.813us             5            --  
triton_per_fused__to_copy_abs_add_clamp_clone_cutlas...         0.35%     840.774us         0.44%       1.045ms      23.220us       4.524ms         2.20%       4.524ms     100.538us            45            --  
triton_per_fused__to_copy_abs_add_clamp_clone_cutlas...         0.00%       0.000us         0.00%       0.000us       0.000us       4.524ms         2.20%       4.524ms     100.538us            45            --  
## Call CompiledFxGraph fcxo53iscky4q4rknp44kw5u7wzp...         0.00%       0.000us         0.00%       0.000us       0.000us       4.424ms         2.15%       4.424ms       4.424ms             1            --  
## Call CompiledFxGraph frqxylitc3hdcxmzskylnuyldu7v...         0.00%       0.000us         0.00%       0.000us       0.000us       4.332ms         2.11%       4.332ms       4.332ms             1            --  
## Call CompiledFxGraph ftawk6w5aphjmifrybnecfz4bolt...         0.00%       0.000us         0.00%       0.000us       0.000us       4.253ms         2.07%       4.253ms       4.253ms             1            --  
_C::fused_gemma_qk_norm_mrope_and_kvcache_write_flas...         0.03%      79.985us         0.07%     177.027us       9.835us       3.765ms         1.83%       3.765ms     209.179us            18            --  
void tensorrt_llm::kernels::fusedGemmaQKNormRopeAndK...         0.00%       0.000us         0.00%       0.000us       0.000us       3.765ms         1.83%       3.765ms     209.179us            18            --  
## Call CompiledFxGraph fnmgzs5jxcnk5bqnb5tmim3tx4vl...         0.00%       0.000us         0.00%       0.000us       0.000us       3.751ms         1.82%       3.751ms       3.751ms             1            --  
