-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  Prefill-1-8192_execute_new_1_cached_0         0.00%       0.000us         0.00%       0.000us       0.000us     216.333ms       102.74%     216.333ms     216.333ms             1            --  
                               vllm::moe_forward_shared        15.40%      34.887ms        23.92%      54.207ms     860.435us      80.212ms        38.09%      94.209ms       1.495ms            63            --  
                                  _C::cutlass_scaled_mm         0.74%       1.671ms         1.48%       3.345ms      26.544us      50.132ms        23.81%      50.132ms     397.870us           126            --  
void cutlass::device_kernel<vllm::cutlass_3x_gemm_fp...         0.00%       0.000us         0.00%       0.000us       0.000us      50.061ms        23.77%      50.061ms     410.333us           122            --  
bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x128x256u2...         0.00%       0.000us         0.00%       0.000us       0.000us      47.084ms        22.36%      47.084ms     771.871us            61            --  
                               vllm::gdn_attention_core         8.02%      18.174ms        51.50%     116.700ms       2.593ms      25.493ms        12.11%      26.903ms     597.855us            45            --  
bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x128x256u2_...         0.00%       0.000us         0.00%       0.000us       0.000us      19.383ms         9.21%      19.383ms     317.746us            61            --  
kernel_cutlass_kernel_atrexsrccutedslgdn_prefill_sm1...         0.00%       0.000us         0.00%       0.000us       0.000us      14.871ms         7.06%      14.871ms     330.472us            45            --  
                                               aten::mm         3.42%       7.759ms         4.16%       9.427ms      31.009us      13.536ms         6.43%      13.536ms      44.528us           304  15620334698496.000  
void moe::dev::finalize::finalizeKernelVecLoad<moe::...         0.00%       0.000us         0.00%       0.000us       0.000us       9.356ms         4.44%       9.356ms     153.385us            61            --  
                    vllm::unified_attention_with_output         2.18%       4.949ms         4.28%       9.698ms     538.801us       8.302ms         3.94%       8.388ms     466.007us            18            --  
fmhaSm103aKernel_QkvE4m3OBfloat16H256PagedKvCausalP1...         0.00%       0.000us         0.00%       0.000us       0.000us       7.679ms         3.65%       7.679ms     479.964us            16            --  
                              _causal_conv1d_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       5.687ms         2.70%       5.687ms     126.385us            45            --  
        nvjet_sm103_tst_128x256_64x6_2x2f_2cta_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       5.682ms         2.70%       5.682ms      93.149us            61            --  
                fused_qkvzba_split_reshape_cat_kernel_0         0.30%     670.926us         0.38%     852.893us      18.953us       5.395ms         2.56%       5.395ms     119.886us            45            --  
                  fused_qkvzba_split_reshape_cat_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       5.395ms         2.56%       5.395ms     119.886us            45            --  
## Call CompiledFxGraph fl7ar2jwcc2i6oorkhjwtevafubq...         0.00%       0.000us         0.00%       0.000us       0.000us       4.921ms         2.34%       4.921ms     984.117us             5            --  
triton_per_fused__to_copy_abs_add_clamp_clone_cutlas...         0.35%     789.834us         0.45%       1.012ms      22.482us       4.619ms         2.19%       4.619ms     102.639us            45            --  
triton_per_fused__to_copy_abs_add_clamp_clone_cutlas...         0.00%       0.000us         0.00%       0.000us       0.000us       4.619ms         2.19%       4.619ms     102.639us            45            --  
## Call CompiledFxGraph fcxo53iscky4q4rknp44kw5u7wzp...         0.00%       0.000us         0.00%       0.000us       0.000us       4.392ms         2.09%       4.392ms       4.392ms             1            --  
## Call CompiledFxGraph frqxylitc3hdcxmzskylnuyldu7v...         0.00%       0.000us         0.00%       0.000us       0.000us       4.329ms         2.06%       4.329ms       4.329ms             1            --  
## Call CompiledFxGraph ftawk6w5aphjmifrybnecfz4bolt...         0.00%       0.000us         0.00%       0.000us       0.000us       4.197ms         1.99%       4.197ms       4.197ms             1            --  
## Call CompiledFxGraph fnmgzs5jxcnk5bqnb5tmim3tx4vl...         0.00%       0.000us         0.00%       0.000us       0.000us       3.861ms         1.83%       3.861ms       3.861ms             1            --  
_C::fused_gemma_qk_norm_mrope_and_kvcache_write_flas...         0.04%      96.979us         0.09%     206.496us      11.472us       3.832ms         1.82%       3.832ms     212.912us            18            --  
